id,title_english,format,status,season,seasonYear,seasonInt,episodes,duration,averageScore,meanScore,popularity,favourites
120180,Ninja Collection,TV_SHORT,FINISHED,SUMMER,2020.0,203.0,13.0,5.0,32.0,31.0,4725,6
233,,TV,FINISHED,SPRING,2000.0,2.0,78.0,25.0,71.0,73.0,4720,108
629,Magic User's Club!,OVA,FINISHED,SPRING,1996.0,962.0,6.0,28.0,66.0,67.0,4718,54
131485,Left-Hand Layup!,ONA,FINISHED,,,,8.0,21.0,68.0,70.0,4711,84
10479,,SPECIAL,FINISHED,SUMMER,2011.0,113.0,6.0,4.0,68.0,69.0,4711,40
4713,,MOVIE,FINISHED,SUMMER,2011.0,113.0,1.0,84.0,54.0,54.0,4710,22
1171,,OVA,FINISHED,FALL,1998.0,984.0,3.0,29.0,70.0,70.0,4704,27
21297,Tonkatsu DJ Agetaro,TV_SHORT,FINISHED,SPRING,2016.0,162.0,12.0,9.0,67.0,68.0,4702,73
163140,HYPNOSISMIC -Division Rap Battle- Rhyme Anima PLUS,TV,FINISHED,FALL,2023.0,234.0,13.0,24.0,67.0,68.0,4697,89
21892,Mahou Shoujo Nante Mouiidesukara Second Season,TV_SHORT,FINISHED,FALL,2016.0,164.0,12.0,4.0,60.0,60.0,4696,18
1126,,TV,FINISHED,SPRING,2001.0,12.0,13.0,47.0,70.0,72.0,4693,87
20492,La corda d’oro -Blue Sky-,TV,FINISHED,SPRING,2014.0,142.0,12.0,23.0,58.0,59.0,4690,17
177512,"Mom, I'm Sorry",ONA,FINISHED,,,,18.0,17.0,72.0,76.0,4685,113
17391,,SPECIAL,FINISHED,SPRING,2013.0,132.0,4.0,4.0,66.0,67.0,4685,6
162,Pita-Ten,TV,FINISHED,SPRING,2002.0,22.0,26.0,24.0,65.0,66.0,4683,48
2560,Toward the Terra,MOVIE,FINISHED,SPRING,1980.0,802.0,1.0,111.0,61.0,62.0,4677,40
2222,,TV,FINISHED,SPRING,1981.0,812.0,243.0,25.0,69.0,71.0,4676,70
19251,,SPECIAL,FINISHED,FALL,2013.0,134.0,1.0,22.0,67.0,68.0,4669,30
171608,Kuramerukagari,MOVIE,FINISHED,SPRING,2024.0,242.0,1.0,62.0,60.0,61.0,4668,25
20530,Magica Wars,TV_SHORT,FINISHED,SPRING,2014.0,142.0,26.0,4.0,52.0,53.0,4667,16
1879,Midnight Eye Goku,OVA,FINISHED,WINTER,1989.0,891.0,1.0,50.0,62.0,62.0,4666,37
16405,,TV_SHORT,FINISHED,FALL,2012.0,124.0,12.0,3.0,52.0,52.0,4665,8
177679,,TV,NOT_YET_RELEASED,WINTER,2026.0,261.0,,,,,4661,28
20456,,ONA,NOT_YET_RELEASED,,,,,,,,4660,8
137310,Digimon Adventure 02 The Beginning,MOVIE,FINISHED,FALL,2023.0,234.0,1.0,80.0,67.0,68.0,4653,69
20721,,OVA,FINISHED,WINTER,2016.0,161.0,1.0,29.0,59.0,59.0,4651,12
1164,Rune Soldier,TV,FINISHED,SPRING,2001.0,12.0,24.0,23.0,68.0,69.0,4645,45
1901,They Were 11,MOVIE,FINISHED,FALL,1986.0,864.0,1.0,91.0,67.0,68.0,4644,49
13561,,SPECIAL,FINISHED,WINTER,2012.0,121.0,11.0,1.0,61.0,62.0,4640,13
1920,Urusei Yatsura Movie 1: Only You,MOVIE,FINISHED,WINTER,1983.0,831.0,1.0,102.0,68.0,68.0,4637,37
158896,Sand Land,MOVIE,FINISHED,SUMMER,2023.0,233.0,1.0,105.0,68.0,72.0,4621,51
184642,Star Wars: Visions Volume 3,ONA,FINISHED,FALL,2025.0,254.0,9.0,19.0,68.0,71.0,4620,31
1602,STRAIN: Strategic Armored Infantry,TV,FINISHED,FALL,2006.0,64.0,13.0,24.0,66.0,67.0,4613,26
10737,,SPECIAL,FINISHED,SPRING,2011.0,112.0,11.0,2.0,66.0,67.0,4611,12
1011,,OVA,FINISHED,FALL,1995.0,954.0,3.0,26.0,73.0,74.0,4608,50
3086,Strait Jacket,OVA,FINISHED,FALL,2007.0,74.0,3.0,26.0,64.0,64.0,4605,16
185039,The Invisible Man and His Soon-to-Be Wife,TV,NOT_YET_RELEASED,WINTER,2026.0,261.0,,,,,4604,31
187261,,SPECIAL,NOT_YET_RELEASED,,,,,,,,4602,28
18177,,OVA,FINISHED,SUMMER,2013.0,133.0,1.0,30.0,69.0,70.0,4602,19
831,A Little Snow Fairy Sugar,TV,FINISHED,FALL,2001.0,14.0,24.0,24.0,67.0,68.0,4599,69
