anime_id,genre
97922,Drama
97922,Psychological
97922,Sci-Fi
106479,Action
106479,Adventure
106479,Comedy
106479,Fantasy
106479,Slice of Life
20745,Action
20745,Comedy
20745,Ecchi
20745,Fantasy
20745,Romance
100112,Action
100112,Comedy
100112,Fantasy
100112,Romance
17074,Comedy
17074,Drama
17074,Mystery
17074,Psychological
17074,Romance
17074,Supernatural
100773,Comedy
100773,Ecchi
124194,Comedy
124194,Drama
124194,Psychological
124194,Romance
124194,Slice of Life
124194,Supernatural
97766,Comedy
97766,Drama
97766,Romance
97766,Slice of Life
166873,Adventure
166873,Drama
166873,Ecchi
166873,Fantasy
20987,Comedy
20987,Slice of Life
105190,Action
105190,Mystery
105190,Sci-Fi
105190,Thriller
108553,Action
108553,Sci-Fi
249,Action
249,Adventure
249,Comedy
249,Fantasy
249,Romance
113596,Drama
113596,Romance
113596,Slice of Life
21385,Action
21385,Adventure
21385,Comedy
21385,Ecchi
21385,Fantasy
21385,Supernatural
33,Action
33,Adventure
33,Drama
33,Fantasy
33,Horror
33,Supernatural
99468,Comedy
99468,Romance
99468,Slice of Life
245,Comedy
245,Drama
245,Slice of Life
18115,Action
18115,Adventure
18115,Fantasy
99426,Adventure
99426,Comedy
99426,Drama
21093,Comedy
21093,Ecchi
21093,Fantasy
21093,Romance
43,Action
43,Psychological
43,Sci-Fi
98444,Comedy
98444,Slice of Life
100183,Action
100183,Sci-Fi
131565,Action
131565,Fantasy
131565,Music
161964,Action
161964,Comedy
161964,Fantasy
7791,Comedy
7791,Music
7791,Slice of Life
21858,Comedy
21858,Fantasy
107717,Comedy
107717,Fantasy
107717,Slice of Life
9260,Action
9260,Drama
9260,Ecchi
9260,Mystery
9260,Psychological
9260,Supernatural
133844,Action
133844,Adventure
133844,Fantasy
20876,Comedy
20876,Romance
20876,Slice of Life
114888,Action
114888,Comedy
114888,Mystery
114888,Sci-Fi
163270,Action
163270,Comedy
163270,Drama
6,Action
6,Adventure
6,Comedy
6,Drama
6,Sci-Fi
10719,Comedy
10719,Ecchi
10719,Romance
10719,Slice of Life
162804,Comedy
162804,Romance
162804,Slice of Life
14345,Action
14345,Psychological
14345,Sci-Fi
20602,Comedy
20602,Fantasy
136804,Action
136804,Adventure
136804,Comedy
136804,Ecchi
136804,Fantasy
116566,Action
116566,Drama
116566,Sci-Fi
116566,Thriller
14713,Comedy
14713,Fantasy
14713,Romance
14713,Supernatural
126403,Drama
126403,Mystery
126403,Supernatural
126403,Thriller
166610,Action
166610,Comedy
166610,Fantasy
142984,Comedy
142984,Romance
142984,Slice of Life
20725,Comedy
20725,Sports
131083,Comedy
131083,Horror
131083,Slice of Life
131083,Supernatural
146066,Drama
146066,Psychological
100643,Action
100643,Adventure
100643,Drama
100643,Fantasy
100643,Horror
100643,Mystery
100643,Psychological
100643,Sci-Fi
178025,Action
178025,Drama
178025,Fantasy
98707,Action
98707,Drama
98707,Fantasy
98707,Mystery
98707,Psychological
107201,Comedy
107201,Mystery
107201,Romance
107201,Supernatural
20678,Action
20678,Ecchi
20678,Fantasy
20678,Romance
392,Action
392,Adventure
392,Comedy
392,Supernatural
125426,Comedy
125426,Slice of Life
151970,Action
151970,Adventure
151970,Comedy
151970,Fantasy
151970,Sci-Fi
98202,Drama
98202,Romance
98202,Slice of Life
103871,Comedy
103871,Music
103871,Supernatural
163134,Action
163134,Adventure
163134,Drama
163134,Fantasy
163134,Psychological
163134,Romance
163134,Thriller
176301,Drama
176301,Mystery
156822,Action
156822,Adventure
156822,Comedy
156822,Fantasy
151806,Comedy
151806,Romance
151806,Slice of Life
166531,Drama
166531,Mystery
166531,Psychological
166531,Supernatural
20946,Comedy
20946,Romance
6213,Action
6213,Fantasy
6213,Sci-Fi
107693,Comedy
107693,Fantasy
14289,Drama
14289,Romance
21131,Action
21131,Comedy
21131,Ecchi
21131,Fantasy
21131,Romance
21131,Sci-Fi
